idx,doc_id,domain,pos,n_ctx,x_text,final_token,para_start_char
10,ffw:history:0:12,history,145,146,"We do not know what message the US Embassy in Dhaka had sent to the State Department after the Pilkhana massacre. We will have to wait for another 30 years to get full text of the official message from the US Embassy.
However, I can share with you the message the US Embassy in Dhaka had sent after the August 1975 coup. This declassified document confirms Sheikh Mujib was warned by the US about the coup but he simply brushed the information aside.
The Embassy also provided early analysis of the August 15 coup against President Mujibur Rahman. It tentatively predicted that the United States would enjoy greater influence under the government of new president Khondakar Mushtaque Ahmed", Ahmed,0
11,ffw:history:0:13,history,117,118,"The city and its surrounding region have gone through several name changes over the centuries. Historically the town is located in the Vayots Dzor region of the Siunik province, which was later given the foreign name Daralaguiaz. The town was called Khodoralez at one point and later Keshishkent. From 1935-1957 its was named Migoyan and finally it was given the name Yeghegnadzor.
Objects found during archaeological digs of tombs near the ruins of the medieval town of Moz show evidence of man", man,96
12,ffw:history:0:15,history,201,202,"At the end of 1830 the Tory party collapsed. This was partly due to the issue of Catholic Emancipation and the party’s attitude towards parliamentary reform. However under the leadership of Robert Peel the Tory party was gradually able to revive itself. In August 1841 the newly named Conservative party won a large electoral majority in the General Election making Peel the Prime Minister from 1841-1846. Yet, during these years Peel faced several large problems left by the disorganisation of the Whig party’s administration. These problems consisted of an economic slump, abysmal working conditions, agitation from the Ireland and pressure to repeal the Corn Laws. This essay aims to assess the success Peel had in concerning these issues.
A large area of success in the Peel’s ministry was the management of the British economy. When Peel became Prime Minister, the number of exports had decreased causing an industrial slump. Industry seemed to be at a stand still and a series of poor", poor,295
13,ffw:history:0:16,history,212,213,"We are certain that this is an accurate depiction of an actual living animal rather than a mythological dog/turtle. There is a stong similarity between the glyptodonts, the anklyosaurs and certain of the giant armadillos, and this object is certainly closer to them, particularly the glyptodonts than it is to a turtle-shelled dog. It’s somewhat surprising that they did not go to that tried and true “worship object” or fetish.
In the photo below, the Pre Columbian artifact from between 300 B.C. and 300 A.D. is compared from bottom right, clockwise to; glyptodont, top left an 18th century Dogon glyptodont depiction (in our humble opinion), and a depiction of Doedicurus, a type of glyptodont supposed to have lived during the Pleistocene.
“Colima Vessel in the Form of a Dog with a Turtle Shell –
Origin: Western Mexico
Circa: 300 BC to", to,274
14,ffw:history:0:17,history,222,223,"Jonathan David Brown (November 20, 1955 – September 27, 2016; age 60) was an American record producer and engineer. He served as Petra's producer from 1980 to 1986. During that time, he produced five of their albums. Brown was also in charge of recording and mixing all five albums.
Jonathan David Brown was born on November 20, 1955 in Oklahoma City. From an early age, his father and grandfather began to instill in him a love for music. During his childhood, Brown learned to play guitar, piano, and percussion, and played with his father regularly. In high school, he was part of the high school choir, where he learned to focus and project his voice.
In the 1970's, he was a member of Seth, a Christian group where he played keyboards and wrote many of their songs. The drummer of the band was Keith Edwards, who would later work with him as a session drummer for Petra. Seth toured", toured,0
15,ffw:history:0:19,history,62,63,"Brought out of reserve in 1962 and towed to Jacksonville, FL, where she was converted at Gibbs Shipyards for service as a fleet ballistic missile submarine dry dock, after which she was recommissioned as USS Oak Ridge (ARDM-1). Stationed at Rota, Spain", Spain,946
16,ffw:history:0:20,history,200,201,"For centuries the Parallel Roads of Glen Roy had baffled both scientists and myth-makers alike; and solving the puzzle would reveal an amazing picture of our geological past. Glen Roy, in Lochaber has three distinct, parallel terraces running the length of both sides of the valley; and it wasn’t until the mid 19th century did geologists realise that they were looking at ancients shorelines from a lake dammed back by huge glaciers. The understanding that Scotland was once glaciated opened up the study across the world; but it was here that scientists had their ah-ha moment.
This year is the bicentennial of Charles Darwin’s birth and 150 years since the publication of his masterpiece, The Origin of Species. The inspiration he found in visiting the Galapagos Islands is very well known, but in the Editorial, ‘Darwin in Scotland’ by Dominic J. McCafferty (The Glasgow Naturalist-2009), we find that the time Darwin", Darwin,0
17,ffw:history:0:22,history,181,182,"A wealthy Oakland physician who practised in San Francisco, Merritt had 85-foot Casco designed along the lines of the famous tea clippers for idle cruising and racing in San Francisco Bay. Casco soon proved herself a worthy descendant of the swift clippers by showing winged heels to all challengers. It was this extraordinary grace that eventually brought the beautiful yacht notoriety and disaster.
Below decks, Casco was almost a miniature palace. Every luxury of that gilt age was to be found: intricate panels of imported hardwoods, carved by hand; bulkheads lined with pure silks; mirrors complete with tassels; velvet drapes. Even her ballast was of the best — solid copper. Dr. Merritt, for 10 years the mayor of Oakland, enjoyed his expensive hobby and captured every speed laurel the Bay City yachting fraternity had to offer. That is", is,685
18,ffw:history:0:23,history,102,103,"The South East Asian Games were considered both a spectacular event and a valuable opportunity for athletes to gain competition experience and preparation for the upcoming Asian Games and Olympic Games. It was purposely created to strengthen friendship, solidarity and understanding among neighboring countries in the region.
The 26th South East Asian Games, formerly known as “South East Asian Peninsula Games”, was held in Jakarta and Palembang, Indonesia last 11th till 22nd of November 2011. It is the fourth time Indonesia", Indonesia,21
19,ffw:history:0:24,history,250,251,"King Philip II spent much of the latter half of the 16th century (and a fair proportion of his plundered new world gold) on building the immense palace where generations of his descendents would escape the sultry heat of Madrid.
In 1984 The Royal Seat of San Lorenzo of El Escorial was declared a UNESCO World Heritage Site. It's a popular day-trip from Madrid - more than 500,000 visitors come to El Escorial every year.
A distant view of the Royal Seat of San Lorenzo de El Escorial (built by Juan Bautista de Toledo)
Avila is sometimes called the Town of Stones and Saints and coming upon the fairytale bulwarks of its medieval defences from the plains of Castile y Leon it is easy to understand why.
Aqueduct of Segovia
The Aqueduct of Segovia is the most important Roman building in Spain. Its 25,000 granite blocks are held together without any mortar yet have been standing almost 2000 years.
The Aqueduct of Segovia spans 818 meters and has more than 170 arches, the tallest being 29 meters high", high,27
20,ffw:history:0:25,history,214,215,"The following is a complete list of titles published by the original left book club the first book listed for each month is that month's choice optional book are identified in the series as follows:a – additional book s – supplementary book t - topical book e – educational series r – repri.
“it terrifies me, the fragility of these moments in our lives” monday, 2 july 2018 interwar britain.
Doomsayers on the left such as sidney and beatrice george orwell's book the road to wigan pier gives a bleak overview in another slum area, st mary’s in . Prominent (brilliant) naqt educational quizlet 7 in the road to wigan pier, he described the life of the industrial working class and their attitudes toward .
George orwell's book the road to wigan pier was illustrated coatbridge born alan frew is the ex-pat lead coatbridge-born union organiser and .
Bringing soviet schools still closer to life: full text of", of,0
21,ffw:history:0:26,history,114,115,"Clemens provided construction management services for the Cristo Rey Philadelphia High School, a private Catholic high school for low income students. The new, $30 Million, 105,000 sf high school sits on a 5+ acre former brown acre site and was built to accommodate 600 students.
When we originally priced the full school, they did not have the funds to proceed with the full scope. As a result, we worked extensively with Blackney Hayes to pare down the project to only include the renovation of the tricycle factory and", and,0
22,ffw:history:0:27,history,121,122,"King Philip IV of France created an inquisition for his suppression of the Knights Templar during the 14th century. King Ferdinand and Queen Isabella formed another in 1480, originally to deal with distrusted ex-Jewish and ex-Muslim converts. Over a 350-year period, this Spanish Inquisition executed between 3,000 and 4,000 people, representing around two percent of those accused. The inquisition played a major role in the final expulsion of Islam from the kingdoms of Sicily and Spain. In 1482, Pope", Pope,33
23,ffw:history:0:28,history,209,210,"Decorations include the Meritorious Service Medal w/ one Oak Leaf Cluster, Army Commendation Medal w/ 3 Oak Leaf Clusters, Good Conduct Medal (7th Award), National Defense Service Medal, Vietnam Service Medal, Overseas Service Ribbon w/ 5 Bars and the Republic of Vietnam Cross of Gallantry Medal Unit Citation w/ Palm.
Raymond served our country with honor, it’s now our turn to honor him.
Thursday, 20 May 2021
Staging: 12:15 PM
Memorial Walkway, POW Circle located in the cemetery
***Please stay at Memorial Walkway, POW Circle till after the Mission Briefing***
National Cemetery of the Alleghenies
1158 Morgan Rd, Cecil Township,PA 15017
Briefing: 12:30 PM
Flag Line: 12:45 PM
Interment at 1:00 PM
Members can attend all of a mission", mission,538
24,ffw:history:0:30,history,175,176,"In September 1863, the Ohio politician John Bingham was at the lowest point of his career. He had once been among the fastest-rising stars in American politics. Nine years earlier, he was among the first group of Republicans elected to the House of Representatives. Shortly after arriving in Washington, he established himself as one of the leading congressional voices against slavery. He was one of the new President Lincoln’s most steadfast supporters and a key member of the House’s pro-war caucus.
But things soon turned difficult. Bingham’s Ohio district was redrawn after the 1860 census. Meanwhile, support for the war was flagging in the North, and soldiers at the front were not allowed to vote with absentee ballots. As a result, Bingham was drummed out of Congress during the 1862 elections.
Despite this personal and", and,255
25,ffw:history:0:32,history,125,126,"A silence fell over the room. Middle-aged men in uniform, faced with the shattering truth of their actions in Vietnam, slowly shook their heads. After some moments, a lone woman rose from her chair and, in a voice choking with disbelief, asked: ''Why didn't you listen to the people in the streets, or the French who had decades of experience in Indochina, or the dozens of Asian specialists on campuses?''
McNamara smiled down from the podium and said: ''But they weren't in our circle.''
The Color of Truth by Kai Bird is a story of two who were in that", that,261
26,ffw:history:0:33,history,122,123,"Tara Hill (Torrchoill in Irish) is an isolated hill near the Irish Sea coast in north County Wexford, Ireland. Though only 253 metres high (833 feet), it dominates the landscape of northeast Wexford. Due to its height relative to the surrounding landscape this hill qualifies as a Marilyn.
Saint Caemhan or Kevin or Cavan, as the name is variously spelt is the Patron Saint of Tara Hill and the site of the old church founded by him is situated at Kilcavan at the north side of the hill under a cliff by the", the,149
27,ffw:history:0:34,history,170,171,"In November 2010 the Royal Licence for Henry Harwarden Gillibrand to take the Name and Arms of Fazakerley was sold on eBay. The licence is dated 4th August 1814 and was signed by Isaac Heard, Garter and Ralph Bigland, Norroy Kings of Arms.
Part of the document reads:
..had been pleased to give and grant unto Henry Harwarden Gillibrand an infant second son of Thomas Gillibrand of Gillibrand Hall in the county Palatine of Lancaster Esquire on the petition in his behalf of Gilbert Ford clerk and John Clarke Esquire acting trustees and executors of the last will and testament of Samuel Harwarden Fazakerley late Fazakerley and afterwards Liverpool both in the said county Palatine Esquire deceased His Majesty’s Royal Licence and Authority", Authority,0
28,ffw:history:0:35,history,72,73,"On this his actual birthday, George Washington remains the most admired but remote of American presidents, more portrait than person. Maybe because he intended it that way. Throughout his life and career, Washington was set on independence. Independence first for himself as a young man, and then, as a general and statesman, for his country.
Read Original at: Jewish World", World,0
29,ffw:history:0:41,history,56,57,"USS Lansdowne (DD-486) in Puget Sound on September 23, 1944 wearing 31/3D camouflage. Lansdowne had been resposible for sinking the German U-Boat U-153 on", on,152
30,ffw:history:0:42,history,123,124,"Longhouse, traditional dwelling of many Northeast Indians of North America. A traditional longhouse was built by using a rectangular frame of saplings, each 2 to 3 inches (5 to 7.5 cm) in diameter. The larger end of each sapling was placed in a posthole in the ground, and a domed roof was created by tying together the sapling tops. The structure was then covered with bark panels or shingles. In some cases separate doors were provided for men and women, one at each end of the house.
Archaeological excavations of many longhouses in New York", York,0
31,ffw:history:0:44,history,61,62,Millions of people all over the US were watching TV on a Sunday night when the television program was interrupted by African Americans being beat by clubs and tear gas being thrown. Six hundred people were attacked by police and state troopers and they were dressed in riot uniforms. ABC was showing a movie and then it was, was,0
32,ffw:history:0:46,history,231,232,"On Wednesday evening, I had the opportunity to see Alice Hoffman speak at the Tenement Museum in NYC. The Museum of Extraordinary Things is Alice Hoffman’s love story to New York City, past and present, and I thought I’d share a few of the many things she spoke of.
In 1911, the New York landscape was shifting. The world was shifting. Her research revealed that more horses were stolen in New York City that year than in all of the midwestern states combined. Coney Island was at its peak of seaside brilliance, with people flocking to the coast for dancing and magic. 1911 is also the year of the Triangle Shirtwaist Factory fire, which claimed the lives of over a hundred young workers and drew attention to deplorable factory conditions across the country. In the same year, fire broke out at Coney Island’s Dreamland, sending lions into the streets of Brooklyn.
And in that haunting way Alice Hoffman presents her work, she shared a story she found in her research. Just as the fire broke out at the Triangle Shirtwaist Factory, as workers realized that the doors", doors,0
33,ffw:history:0:47,history,77,78,"For the past twenty years or so, my family and I have vacationed with friends and acquaintances at Fenwick Island in Sussex County Delaware every summer. Most of the time, this vacation is a few weeks of sun and sand, conversations on the beach all day and happy hour at the tiki bar in the evening. But for the last couple of years, I’ve spent many of", of,223
34,ffw:history:0:50,history,69,70,"The Detroit Video History Archive features nearly 170 hours of newly digitized film footage from 350 pieces of media. It combines rarely seen items from the Detroit Historical Society collection (including promotional materials for the Society and Detroit Historical Museum, public domain third-party footage—such as news reels, amateur and home footage—and promotional material related to", to,0
35,ffw:history:0:51,history,143,144,"James C. Cobb, Spalding Distinguished Professor of History at the University of Georgia, will deliver the address, ""From 'King Cotton' to the Sunbelt: The Rural South and the Global Economy,"" on Wednesday, April 4, at 4 p.m. in Swalm 001.
Cobb is a leading authority on the history of the American South. He is the author of eight books, including ""The Most Southern Place on Earth: The Mississippi Delta and the Roots of Regional Identity."" In addition, he has edited several more books and published countless articles.
Among the most respected American historians working today, Cobb is a former president of the Southern Historical Association and frequent contributor to", to,295
36,ffw:history:0:52,history,80,81,"A public program and podcast series providing a sense of shared legacy for our island community by highlighting stories about Hawaiʻi lifeways, key historic events, social movements, and our role in a globalizing world. Featuring excerpts from our archive of over 800 interviews of Hawaiʻi women and men, this series was the first step in making these oral histories more accessible to our communities with", with,35
37,ffw:history:0:53,history,54,55,"It is a truly magnificent piece of racing history. Only four of these cars were ever made, and it reached a top speed of 186 MPH. According to Artcurial, the auction house selling the vehicle, this specific car set a lap record at the legendary", legendary,320
38,ffw:history:0:55,history,106,107,"Rough Riders week is June 3 -12, 2022 and “we are delighted to jointly put forth such a fun, entertaining, cultural, and historically encapsulated event centered around Teddy Roosevelt, the Spanish –American War, and the connections to Tampa all in one night”, said Lt Col. William “Billy Hogan.
History comes alive with a night filled with presentations by the Mambi’s about Cuba in the late 1800’s, from the Rough Riders about the Spanish American War; and", and,271
39,ffw:history:0:56,history,88,89,"ADELAIDE (ADELHEID), a Burgundian princess wed to King Lothaire of Italy. Following the death of Lothaire, St. Adelaide married Otto I, Holy Roman Emperor, who also predeceased her. As Dowager Empress, she served as regent for the child Otto III, and was of great service to both Church and State. Towards the end of her life St. Adelaide retired to a", a,46
40,ffw:history:0:59,history,142,143,"Around the world, the anniversary of the end of the first world war has many names: Armistice Day, Remembrance Day and Day of Peace. The anniversary of the wars end, the silencing of the cannons, is marked as a day when nations pause in a moment of silence with solemn pride in the remembrance of the heroism of those who have served, those who are currently serving and those who died in our countrys service.
For years in the U.S., the end of World War I was called Armistice Day, only to have the name changed after World War II to Veterans Day, to honor all who have served in Americas conflicts.
Nov. 11 is not", not,1062
41,ffw:history:0:60,history,163,164,"During the 14th and 15th centuries tiles of many different types were made in Catalonia, among them tiles in relief that we may consider as being for the open air, or to be part of a building. At times they have traces of polychromy added after firing. Although it could not have been a ware as abundant as that of wall tiles, many have been found in different places in Catalonia. On this tile a figure pokes its head out between two branches of what seem like the arms of a star with a face in profile. The clever decorative distribution in the space available and its careful manufacture make this tile a very notable and original piece. There is doubt as to its provenance, as although they have also been found in Valencia, the Renaissance decorative characteristics put it closer to the", the,0
42,ffw:history:0:61,history,245,246,"By Yoshihisa Watanabe / Yomiuri Shimbun Senior WriterHIROSAKI, Aomori — The vibrant Tatsuno-shiki style of building featuring red bricks and white stripes is epitomized by Tokyo Station in eastern Japan and the Osaka City Central Public Hall in the west. Prolific architect Kingo Tatsuno created many distinctive buildings like these from the 1880s to the 1910s. Also around this time, master architect Sakichi Horie designed many Western-style buildings with a hint of a Japanese feel in Hirosaki in northern Japan.
Sakichi was born in 1845 as the heir to a family of carpenters employed by the feudal Tsugaru domain. The Memorial Hall of Aomori Bank (previously the main branch of what was the 59th National Bank) completed in 1904 is one of his signature designs, featuring a Renaissance style and bilateral symmetry.
Its walls have been replastered and the building retains the kurazukuri warehouse style architecture. The former Hirosaki City Library, which was completed in 1906, has distinctive twin towers with red roofs", roofs,0
43,ffw:history:0:62,history,141,142,"A spokesman for the War Department said today that authorization to send representatives to Germany to act as liaison officers between the U.S. military authorities and stateless and other Jews still held in camps, will be given to all principal Jewish organizations, and is not limited to any one group.
“However, it is up to UNRRA to decide which groups are going, who is to be represented, and how many representatives they are to have,” he added. The War Department, he explained, decides only whether the individuals selected to go are satisfactory to the military authorities. The rest is up to UNRRA.
UNNRA headquarters here told the JTA today that details have not yet been worked out", out,20
44,ffw:history:0:64,history,60,61,Tourism can be recognized as long as people have travelled; the narrative of Marco Polo in the 13th century; the “grand tour” of the British aristocracy to Europe in the 18th century; and the journeys of David Livingstone through Africa in the 19th century, century,552
45,ffw:history:0:65,history,165,166,"There was a church on this site in 1155 but the earliest remaining feature is the font from the C12th. It has suffered major storm damage in 1702 and in 1775 a major fire destroyed the roof and all the furnishings then in 1779 the spire was blown down. Fine old doors in the porch were built with the porch in 1523. The church his normally open and well worth a visit.
Station Rd, Southminster CM10 7EW, UK – 01621 772300
Everyone very friendly. Church open most days not just Sundays.
C13th but not the prettiest externally though has some very nice carvings to the pulpit and", and,115
46,ffw:history:0:66,history,166,167,"This August 6th, 2022 is the 77th anniversary of the dropping of the atomic bomb on Hiroshima. Our generous benefactor, Mr. Kaoru Iwamoto 9p, was almost killed by this bomb. His Honinbo championship game with Mr. Utaro Hashimoto was moved at the last moment to the outskirts of Hiroshima, about 10 kilometers upwind from the center of the destruction. The blast disrupted the beginning of the last day their three-day game, but nobody in the playing room was badly hurt, so they set up again and finished. Only later, as they walked to their host’s house, did they get the terrible news of what happened as refugees came streaming from the center of Hiroshima.
Iwamoto Sensei’s wartime experiences motivated him", him,0
47,ffw:history:0:67,history,217,218,"Leave the busy streets of London for the quite calm idyllic villages of the Cotswolds. Stop in the town of Burford for tea before visiting villages like The Slaughters, The Swells and Broadway. The 14th century village of Chipping Campden lined with small independent shops is a great place for lunch.
The Victorian seaside resort of Brighton is home to The Royal Pavilion, one of the most exotic royal residences in Europe. Take a stroll through ‘The Lanes’ narrow streets filled with antiques and rare finds. After lunch see the wonderful state rooms and fine art collections at Arundel Castle.
A walk through the home of the Grantham family is a must for Downton Abbey fans. Also visit the church that has seen the shows weddings, funerals and a jilting at the altar. Walk through the village where many of the outside scenes are filmed and visit the Downton Abbey gift shop.
Built on a small island in the lake Leeds is said to be the most beautiful castle in Britain. Continue on to Canterbury", Canterbury,14
48,ffw:history:0:68,history,146,147,"Americas Army will remain totally engaged in our support of the nation as we move into the next century. In support of Joint Vision 2010, the Army has developed Army Vision 2010. This strategic plan has been designed to support the Armys march into the future. Always mindful of the value of our past and the enduring strength of the Armys heritage, the Army History Program looks to the future with great enthusiasm. For it is in the future where we must make our greatest contributions. This strategic plan identifies the five major focus areas in which all of us who support the Total Army must succeed. The goals we have identified within each of the focus areas provide substance to the Army Historical Program and direct the", the,119
49,ffw:history:0:69,history,111,112,"This is a very interesting surname. It is English and locational, but is often thought to be Celtic and Welsh. In fact it originates from a village called Carden in the county of Cheshire, near the town of Malpas. This place which does not seem to be recorded in the 'Oxford Dictionary of English Place Names', a surprising omission, was originally recorded as Kawrdin. This is from the pre 7th century 'carr' meaning a rock, and 'wordign', a farm or enclosed area. In fact the village", village,0
50,ffw:history:0:70,history,213,214,"Ancient Neapolis (Greek “New City”), situated on a small peninsula between two bays, was founded at least as early as the 6th century BC, became part of the Macedonian kingdom in the 4th century BC when Philip II, father of Alexander the Great conquered it, and then was merged into the Roman Republic in 168 BC. The earliest coins from the town, struck near the end of the 6th century BC, depict the Gorgon head. The infamous Brutus and Cassius, assassins of Julius Caesar, used Neapolis as their headquarters in 42 BC before being defeated nearby at the battle of Philippi by Mark Antony and the Emperor to be, Octavian/Augustus (Dio Cassius, Roman History). In the Roman period, Neapolis was one of the best and safest ports in the area, and functioned as the harbor town for Philippi about 10 miles away, similar to the relationship between Attalia and Perga. Today, the aqueduct and part of", of,0
51,ffw:history:0:72,history,63,64,"The Help For Heroes charity, which raises money for servicemen and women wounded in action, also received £1,000 from Paul Hardy, a former Harrier manager. One of Hardy’s former players was Nick Chauntry, who grew up to be a soldier and lost an eye while on duty in Afghanistan in", in,1124
52,ffw:history:0:73,history,58,59,"Join us to celebrate old Eli's birthday - he's 368 years young this year! - at the Kinsale, the Irish pub on the site of the house where he was born. Appetizers and a birthday cake will be provided by the YaleBoston Young Alumni Committee, but", but,62
53,ffw:history:0:74,history,209,210,"A wealth of topics covered, including: BDM Online, Genealogy Master Class, Research Methodology, Standards of proof, Beginners guide to Whakapapa research, Papers Past: The Art of Search, Digitising your family history, Family Photos, Photoshop Your Images, Scrapbooking your Genealogy, Facebook for Genealogists, DNA basics, WW100, Military Personnel Records, Finding Richard III.
Monthly Meeting and Talk - 'A few of my favourite things' by Stephanie Smith
Sunday 4th August 2.00 p.m.
in the Okahukura Room, first floor, Tauranga Library (please note change of venue).
by Stephanie Smith, Specialist Information Librarian in Research Collections, Tauranga Library, shows off some of her favourites from the library's archives and rare books collections. No raindrops, no roses, no whiskers, no kittens - just some fascinating items, including some you might not expect to find in a library. (Stephanie notes: If you", you,443
54,ffw:history:0:76,history,102,103,"I think that we have been obliged to give mule meat to some of our prisoners, during this campaign, to keep them alive till they could get to supplies; and some of our own men have gone very hungry, because, in the haste of pursuit, they marched straight away from the waggons. . . . At 1.30 we found General Sheridan at the house, which was perhaps a mile south of Jetersville.
Along the front was the 5th Corps, strongly entrenched", entrenched,160
55,ffw:history:0:77,history,93,94,"This is a monument from the Sassanid period and is located 20 km. northwest of the ruined city of Shoosh. It is known as ‘Kut Karkheh’ or Ivan-e-Kharkheh palace. A colossal rampart encloses the palace, and on each side there are entrances at regular intervals.
To the east of the area, there is a ruined structure out of which only an arched ceiling made of brick has", has,0
56,ffw:history:0:78,history,178,179,"Schenectady built ALCO 3815, with sister 3823 pushing at the rear, slog up the 1 in 25 (4%) grade into Mach with a train for Quetta. At Mach they will reverse into the station for a few minutes` r... (more)
I don`t know if Metrolink run many non-passenger duties but I couldn`t see any after a quick scan through Railpics. I believe the train was stone, presumably ballast for the railroad
A 12 car Hastings line DEMU arrives at Tonbridge from Hastings. These units were built with a narrow body profile due to the tunnel widths on this line. After electrification in the mid 1980s, the... (more)
The westbound California Zephyr approaches Truckee.CA.
Norwegian owned EL", EL,663
57,ffw:history:0:80,history,117,118,"View of a steam boat named Helen on the Sheyenne River on a calm day, with a smooth reflection of the boat in the water. There are men and women on the boat from the State Normal School, and a young boy...
Portrait of Theodore Roosevelt
Theodore Roosevelt faces the camera and poses for this photograph. He is wearing clothing indicative of the time period. Notice the eyeglasses.
Men's basketball team, Washburn, N.D.
People; Sports & Recreation;
Seven young men pose for the photograph standing in a straight line. They face to", to,4643
58,ffw:history:0:81,history,129,130,"In Glasgow and Scotland, we have been in denial about our role in it for a long time. We’ve known about it all along, but it’s been deliberately hidden. The political situation has changed now though, and we’re being forced to face up to the truth. In particular, Glasgow benefitted economically to an enormous extent – it provided the money that changed Glasgow from a small regional centre into one of the biggest and richest cities in the world. So much of our magnificent architecture was paid directly or indirectly from the enslavement of millions of people.
Our walk will take us around some of the key sites and buildings in the city centre", centre,262
59,ffw:history:0:82,history,170,171,"Allied aircraft bomb Japanese base in Puerto Princesa Island, Philippines. Liberator aircraft in flight. An animated map shows the movement of the planes from Morotai to Puerto Princesa Island. Aircraft bomb Japanese installations. Smoke and explosions. Enemy airstrips are bombed. Aerial view of land. Planes in formation.
Allied campaigns against Japan during World War II. Animated map depicts battles for various islands in the Pacific like Guadalcanal, Palau, Mariana Islands. A map of the Philippines. United States troops invade the Philippines. Naval guns fire at a shore and flak bursts are seen. Dramatic shot of a Japanese Zero aircraft approaching U.S. Navy ships that are firing guns. The Japanese aircraft is hit at close range to the ship, a wing ruptures, it is consumed in fire and crashes with explosion in", in,0
