idx,claim_id,claim,excerpt,replacement,anchored
3,3,"The sentence requires a noun phrase next, likely ""birth to"".","requires a noun phrase next—likely ""birth to""","requires a finite verb next—likely ""was rejected""",True
4,0,The text has a historical documentary/catalogue tone with factual prose about Holocaust atrocities at Auschwitz.,"Historical documentary/catalogue tone establishes factual, educational prose about Holocaust atrocities at Auschwitz","Lighthearted travel/advertising tone establishes playful, promotional prose about beach resorts at Cancún",True
4,1,The sentence introduces discovered hair bundles as physical evidence of suffering.,The sentence introduces discovered hair bundles and their physical evidence of suffering,The sentence introduces freshly baked bread loaves and their pleasant evidence of comfort,True
4,2,"The final token ""was"" ends a temporal clause that requires a historical event phrase.","""when Auschwitz was"" ends a temporal clause mid-construction, requiring a historical event/moment phrase","""when Auschwitz fell"" ends a complete temporal clause, requiring no further event/moment phrase",True
4,3,The completion almost certainly references the Soviet liberation of the camp in January 1945.,almost certainly referencing Soviet liberation or the camp's abandonment in January 1945,almost certainly referencing the camp's construction or expansion in spring 1940,True
5,0,The text is a historical narrative about European exploration in North America.,Historical autobiography/cartography narrative detailing European exploration in North America,Futuristic science-fiction/fantasy novel detailing alien colonization of Mars,True
5,1,The sentence about Spain advancing treaties with Indians has a geographic enumeration in progress.,"the sentence about Spain advancing treaties with Indians establishes a territorial/economic tollcast, with a geographic enumeration in progress","the sentence about France cancelling treaties with Britain establishes a romantic/personal confession, with a geographic enumeration already closed",True
5,2,"The final token ""Cumberland"" ends a geographic list of rivers mid-sentence.","Final token ""Cumberland"" ends a geographic list mid-sentence","Final token ""design"" opens a personal anecdote mid-sentence",True
5,3,"The text mirrors its own earlier phrasing ""Ohio, Wabash, and Cumberland rivers"".","The text mirrors its own earlier phrasing of ""Ohio, Wabash, and Cumberland rivers,""","The text contradicts its own earlier phrasing of ""Ohio, Wabash, and Cumberland rivers,""",True
6,0,"The text is a genealogical/family history record about early colonial settlers of Taunton, Massachusetts.","Genealogical/family history record style, with biographical details about early colonial settlers of Taunton, Massachusetts, circa 1638","Sports/match report style, with tactical details about modern football players of Manchester, England, circa 2015",True
6,1,"The text is listing descendants of John Wise and will continue with son names, dates, land grants or roles.","The text is listing descendants of John Wise, establishing a structure that will continue with son names, birth/death dates, land grants, or roles","The text is listing ingredients of a fish stew, establishing a structure that will continue with quantities, cooking times, temperatures, or utensils",True
6,2,"The final token ""Gabriel"" is mid-list and requires a second son's name next.","""Left two sons, Gabriel"" is mid-list, immediately requiring a second son's name","""Left two sons, Thomas"" is list-final, requiring no further son's name",True
6,3,"""Gabriel"" is the first of the two sons promised.","""Gabriel"" is the first of ""two sons"" promised.","""Gabriel"" is the last of ""five daughters"" promised.",True
7,0,The text is in an official military press release format with structured announcements.,"Official military press release format (VTN bulletin), following structured announcements with precise dates, ranks, and program details about awards and staff appointments","Casual teenage diary format (private notebook), following rambling entries with vague feelings, crushes, and gossip about friends and weekend plans",True
7,1,Eric Young's experiences and heroic death at sea are being detailed chronologically.,his experiences and heroic death at sea are being detailed chronologically,his hobbies and peaceful retirement on land are being detailed randomly,True
7,2,"The final token ""Spirit"" ends the military operation name ""Operation Eagle Spirit"".","Final token ""Spirit"" ends a historical military operation name (""Operation Eagle Spirit"")","Final token ""Fleet"" ends a modern civilian company name (""Pacific Shipping Fleet"")",True
7,3,"The next tokens must complete the exercise context, likely with a date or an exercise description.","next tokens must complete this context, likely a date or additional exercise description","next tokens must abandon this context, likely a recipe or unrelated sports commentary",True
8,0,The text is in a dictionary/lexicon format with numbered entries and biblical citation style.,"Dictionary/lexicon format with numbered entries, biblical citation style, and brief definitional explanations for genealogical terms","Poetry/verse format with unnumbered stanzas, romantic imagery, and long lyrical descriptions of seasonal landscapes",True
8,1,The entry lists Nethaneel's father as Jehoiada.,entry lists Nethaneel's father as Jehoiada,entry lists Nethaneel's mother as Miriam,True
8,2,"The final token ""son"" is a mid-appositive fragment requiring a parent name next.","Final token ""son"" is mid-appositive fragment","Final token ""Levites"" is a sentence-final noun",True
8,3,The biographical detail schema continues.,Biographical detail schema continues.,Biographical detail schema ends here.,True
9,0,The text is encyclopedic/Wikipedia biographical prose about a mob figure.,Encyclopedic/Wikipedia biographical prose establishing facts about a mob figure,Whimsical/children's picture-book prose inventing tales about a talking rabbit,True
9,1,The subject is introduced as a notorious mob hitman.,introduces subject as notorious mob hitman,introduces subject as beloved parish priest,True
9,2,"The final ""He was"" clause requires a verb phrase continuation, most likely describing his death or arrest.","""He was"" — final clause requires a verb phrase continuation, most likely describing his death, arrest, murder trial, or classification/legacy","""He sang"" — final clause requires no continuation, having already described his wedding, honeymoon, or retirement/hobbies",True
9,3,The biographical arc is expected to continue with criminal conviction and the circumstances of his death.,suggests biographical arc continuing with criminal conviction and murder circumstances or circumstances of death,suggests biographical arc concluding with charitable awards and wedding celebrations or details of retirement,True
10,0,The text is a historical US diplomatic document series about Cambodia in 1970.,Historical US diplomatic document series referencing Cambodia 1970 events,Contemporary French cooking magazine series referencing Provence 2020 recipes,True
10,1,The second entry describes a US foreign policy assessment of a new regime.,second entry describes US foreign policy assessment of a new regime,second entry describes a private family recipe for a new dessert,True
10,2,"The final token ""Ahmed"" completes a proper name.","Final token ""Ahmed"" completes a proper name","Final token ""regime"" completes a common noun phrase",True
10,3,Commentary on repercussions or government detail is expected next.,expecting commentary on repercussions or government detail,expecting a recipe with ingredient quantities or cooking times,True
11,0,"The text is an encyclopedic/historical description of the village of Akhuryan, Armenia.","Encyclopedic/historical register describing a specific village (Akhuryan, Armenia)","Casual/promotional register advertising a generic smartphone (Galaxy, Samsung)",True
11,1,The narrative is building toward settlement history or evidence of human occupation in the Akhuryan region.,Narrative momentum building toward settlement history or human occupation evidence for the Akhuryan region.,Narrative momentum building toward weather forecasts or football results for the Akhuryan region.,True
11,2,"The final token ""man"" starts an incomplete compound phrase such as ""man-made"".","""man"" is the start of an incomplete compound phrase","""woman"" is the end of a complete simple sentence",True
11,3,The completion should describe human activity or presence in the region.,requires completion describing human activity/presence or continuity,requires completion describing animal migration/absence or extinction,True
12,0,The text is a student-written historical essay on British political reform in the 1830s.,"Historical essay on British political reform (1830s Chartism), student-written GCSE/O-level essay","Fantasy novel on dragon warfare (medieval Westeros), professionally published bestseller",True
12,1,The paragraph is currently detailing the economic causes of reform.,"currently detailing ""economic reasons""","currently detailing ""religious reasons""",True
12,2,"The final token ""poor"" is mid-phrase and requires a noun such as ""harvests"".","Final token ""a series of poor"" is mid-phrase, requiring noun completion referencing agricultural/economic hardship","Final token ""a series of victories"" is phrase-final, requiring no completion referencing military/political triumph",True
12,3,A period of depression and rising unemployment contributed.,"""a period of depression"" and rising unemployment contributed.","""a period of prosperity"" and falling unemployment played no part.",True
13,0,The text is an artifact description in museum/collection catalog style with structured data fields.,"Artifact description format following museum/collection catalog style, with structured data fields like ""Name,"" ""Type,"" ""Origin,"" ""Date"" repeating consistently","Personal love letter format following informal diary style, with rambling free-form paragraphs like ""Dearest,"" ""I miss you"" appearing sporadically",True
13,1,"The closing date ""400 AD"" is strongly expected next.","the closing date ""400 AD"" is strongly expected next","the opening date ""100 BC"" is hardly expected next",True
13,2,"The final token ""to"" opens the end boundary of a date range.","Final token ""to"" opens the date range end boundary","Final token ""Oaxaca"" closes the place name field",True
13,3,"The continuation immediately requires ""400 AD"" or an equivalent, mirroring the earlier range.","immediately requires ""400 AD"" or equivalent, mirroring the earlier stated range","immediately requires a museum's street address, contradicting the earlier stated range",True
14,0,"The text is a chronological career biography of Pete Franklin, from gospel origins to mainstream rock.","structured chronological career timeline of Pete Franklin, detailing gospel origins, bands, and moves to rock's mainstream","loose thematic recipe collection of Pete Franklin, detailing pastry origins, ovens, and moves to fine dining",True
14,1,"The text is mid-sentence describing collegiate Christian bands, including Franklin's early band ""Doorway Youth Choir"".","text is mid-sentence describing collegiate Christian bands, listing Franklin's early band ""Doorway Youth Choir"" with named members","text is sentence-final describing professional football clubs, listing Franklin's last team ""Boston Rovers"" with no named members",True
14,2,"The final token ""toured"" begins a past-tense clause about the band's touring activity.","Final token ""The band toured"" begins a past-tense clause about Doorway Youth Choir's touring activity","Final token ""The band disbanded"" ends a present-tense clause about Doorway Youth Choir's breakup",True
14,3,"The continuation should immediately describe where, when or how they toured.",requiring immediate continuation describing where/when/how they toured,"requiring no immediate continuation, the clause being already complete",True
15,0,The text is a naval ship biography in a factual encyclopedic tone.,"Naval/military ship biography format — factual encyclopedic tone describing vessel construction, commissioning, and deployment history","Romantic/poetic love letter format — emotional confessional tone describing heartbreak, longing, and reunion hopes",True
15,1,The narrative now expects deployment/assignment details.,now deployment/assignment details expected,now crew recipes and menu details expected,True
15,2,"The final phrase ""Stationed at Rota, Spain"" is mid-sentence or begins a new detail clause.","Final phrase ""Stationed at Rota, Spain"" is mid-sentence or begins a new detail clause","Final phrase ""Scrapped in Portsmouth, England"" is sentence-final and closes the whole entry",True
15,3,"The sentence requires completion, likely a duration or a subsequent transfer.","The sentence requires completion, likely a duration or subsequent transfer.","The sentence is already complete, ending the ship's recorded history.",True
16,0,The text is a personal blog narrative from a British geological society meeting.,Personal blog/journal narrative from a British geological society meeting,Corporate press release from an American software company launch,True
16,1,The text has pivoted to introducing Darwin's connection to Devon geology.,The text has pivoted to introducing Darwin's connection to Devon geology,The text has pivoted to introducing Newton's connection to Cambridge mathematics,True
16,2,"The final phrase ""but the time Darwin"" opens a subordinate clause mid-sentence.","Final phrase ""but the time Darwin"" opens a subordinate clause mid-sentence","Final phrase ""but the time Murchison"" closes a main clause at sentence end",True
16,3,A verb phrase about what Darwin did or studied in Devon is expected next.,expecting a verb phrase about what Darwin did in Devon or studied,expecting a noun phrase about what Murchison ate in London or drank,True
17,0,The text is a historical biography recounting John White's early firearms excellence before a dramatic fall.,"text recounts early firearms excellence of John White, building toward a dramatic fall or turning point after success","text recounts late gardening failures of John White, building toward a quiet retirement or steady routine after decline",True
17,1,The style is descriptive mid-20th century adventure/historical prose.,descriptive mid-20th century adventure/historical prose,terse 21st century legal/technical boilerplate,True
17,2,"The final token ""That is"" opens a clarifying or contrasting clause.","Final token ""That is"" opens a clarifying or contrasting clause","Final token ""Mountain"" closes a declarative summary sentence",True
17,3,The continuation sets up an explicit contrast or complication next.,sets up an explicit contrast or complication next,sets up a smooth continuation of uninterrupted success next,True
18,0,The text is a factual news report about the SEA Games 2018 hosted by Indonesia.,"Factual news report pattern about SEA Games 2018, establishing Indonesia as host","Fictional fairy tale pattern about a dragon's wedding, establishing Norway as venue",True
18,1,The narrative is completing a historical claim about Indonesia's hosting history.,Narrative momentum toward completing a historical/contextual claim about Indonesia's hosting history,Narrative momentum toward abandoning any historical/contextual claim about Indonesia's hosting history,True
18,2,"The final token ""Indonesia"" ends an incomplete sentence requiring a continuation such as ""hosted"".","Final token ""Indonesia"" ends an incomplete sentence","Final token ""Palembang"" ends a complete sentence",True
18,3,The continuation is expected to be host-country history or a significance reference about Jakarta.,expects host-country history or significance reference about Jakarta as host with local infrastructure,expects athlete injury updates or medal counts about Vietnam as runner-up with no infrastructure,True
19,0,The text is a travel guide blog with sequential historical site descriptions.,"Travel guide blog format: sequential historical site descriptions with consistent pattern of name, location, origins, occupants, and notable facts for each entry","Stock market newsletter format: daily price analyses with inconsistent pattern of ticker, volume, dividends, and analyst ratings for each entry",True
19,1,The Aqueduct of Segovia entry lists impressive dimensions.,the Aqueduct of Segovia entry lists impressive dimensions,the Alhambra of Granada entry lists visiting hours,True
19,2,"The final token ""high"" ends a measurement clause mid-description.","Final token ""high"" ends a measurement clause mid-description","Final token ""Segovia"" opens a place-name clause at sentence start",True
19,3,A continuation such as a period or a closing detail about the construction is expected.,"immediately expecting continuation like ""."" or a closing detail/fact about the volume or construction method","immediately expecting a new heading like ""Toledo"" or an opening anecdote about the author's lunch or hotel",True
20,0,The text is aggregated web-scraped index content with loosely related fragments.,typical web-scraped or index content with loosely related fragments,typical hand-written personal letter with one tightly focused story,True
20,1,"The text cycles through varied historical, religious and institutional references.","The text is cycling through varied historical, religious, and institutional references","The text is dwelling on a single fictional, romantic, and domestic scene",True
20,2,"The final phrase ""full text of"" is an incomplete bibliographic phrase demanding a book title next.","""electrical apparatus. full text of"" is an incomplete bibliographic/library phrase","""electrical apparatus. full text."" is a complete advertising/sales slogan",True
20,3,"""full text of"" strongly expects a following noun phrase, almost certainly a ""google books"" citation.","""full text of"" strongly expects a following noun phrase, almost certainly ""google books"" citation text","""full text of"" hardly expects any following words, almost certainly a paragraph break",True
21,0,The text is a professional architectural/construction project narrative about an education facility.,Professional architectural/construction project narrative establishing credibility and challenges in education facility development,Amateur gardening/cooking diary entry recording failures and jokes in weekend hobby pursuits,True
21,1,The sentence is mid-explanation of a phased construction strategy driven by funding constraints.,"The sentence is mid-explanation of a phased construction strategy, having established funding constraints forcing reduced initial scope","The sentence is the conclusion of a single-phase demolition plan, having established unlimited funding allowing expanded initial scope",True
21,2,"The final token ""and"" is a conjunction mid-list requiring a parallel noun phrase.","Final token ""and"" is a conjunction mid-list","Final token ""building"" is a noun at list end",True
21,3,The continuation implies another named existing structure or converted space.,implies another named existing structure or converted space,implies a total project cost or a completion date,True
22,0,The text is a chronological historical narrative about the Inquisition's development.,Historical chronological narrative with sequential facts about the Inquisition's development,Whimsical nonsense poem with random rhymes about a cat's breakfast,True
22,1,"Kings, popes and European powers all play roles in the text.","kings, popes, and European powers all play roles","farmers, sailors, and village children play no roles",True
22,2,"The final token ""Pope"" is an incomplete noun phrase requiring a papal name such as ""Sixtus IV"".","""In 1478, Pope"" is an incomplete noun phrase mid-sentence requiring an immediate papal name (e.g., ""Sixtus IV"")","""In 1478, Spain"" is a complete prepositional phrase at sentence end requiring no name at all",True
22,3,A verb clause describing papal action regarding the Inquisition is expected.,a verb clause describing papal action or approval/bin agreement regarding the Inquisition,an adjective describing royal wealth or fashion regarding the Spanish court,True
23,0,The text is an organizational mission report for a veterans honor group presenting a ceremony itinerary.,"Organizational mission report for a veterans honor/volunteer group, presenting a formal civic corse Recovery ceremony itinerary with structured event details","Personal restaurant review for a teenage food/travel blog, presenting a casual weekend brunch outing with rambling tasting notes",True
23,1,"The document follows a field report/event itinerary format for a ""Virtual Mission"".","The document follows a field report/event itinerary format for a ""Virtual Mission,""","The document follows a poetry/song lyric format for a ""Summer Romance,""",True
23,2,"The final fragment ending in ""mission"" signals an incomplete operational term phrase.","Final fragment ""you can attend either half of a mission"" signals an incomplete operational/brotherhood term phrase","Final fragment ""you can attend either half of a concert"" signals a complete musical/entertainment sentence",True
23,3,"The continuation is likely a proper name or code such as ""mission briefing"".","likely continuing with a proper name or code, e.g., ""mission briefing"" or a labeled ""Mission Code.""","likely continuing with a period or a new paragraph, e.g., ""."" or a plain ""Thank you.""",True
24,0,The text is a historical narrative giving the biography of a political figure.,Historical narrative establishing biography of a political figure,Technical manual establishing specifications of a kitchen appliance,True
24,1,The text has built a picture of Taney's 1864 defeat.,The text has built a picture of Taney's 1864 defeat,The text has built a picture of Taney's 1864 triumph,True
24,2,A pivot to redemption is expected.,A pivot to redemption is expected.,A descent into ruin is expected.,True
24,3,"The final fragment ends with ""and"", mid-phrase, and requires a noun.","Final fragment ""In the midst of this personal and"" is mid-phrase, requiring a noun","Final fragment ""In the midst of this personal crisis"" is sentence-final, requiring a period",True
25,0,The text has a historical/literary essay tone signaling a pivot to a specific subject.,Historical/literary essay tone signals a pivot,Casual advertising jingle tone signals a repetition,True
25,1,"The ""circle"" metaphor sets up the next subject as an insider of the decision-making group.",sets up the next subject as an insider or named member of that excluded decision-making group,sets up the next subject as an outsider or anonymous stranger to that open decision-making group,True
25,2,"The final phrase ends with ""that"" and is incomplete.","Final phrase ""He的选择 was one of those in that"" is incomplete","Final phrase ""He的选择 was one of those in Paris"" is complete",True
25,3,"""Circle"" completes the direct callback to the opening quote.","""Circle"" completes the direct callback","""Circle"" breaks the direct callback",True
26,0,The text is an encyclopedic reference describing Irish heritage sites.,Encyclopedic/reference register describing Irish heritage sites,Chatty/gossip register describing Hollywood celebrity feuds,True
26,1,"The text has described the promontory, coastline, and bullaun.","the text has described the promontory, coastline, and bullaun","the text has described the menu, wine list, and dessert",True
26,2,"The final fragment ends with ""the"" and demands a geographical landmark or body of water.","Final fragment ""near a small hill of Kilcurry, beside a rock outcrop by the"" demands a specific geographical landmark or body of water to follow","Final fragment ""near a small hill of Kilcurry, beside a rock outcrop by nightfall"" demands a specific verb or action to follow",True
27,0,The text is a genealogical/heraldic archival document continuing a formal royal charter transcript.,Genealogical/heraldic archival document pattern signals continuation of formal royal charter transcript language,Teenage/diary journal entry pattern signals continuation of casual text-message slang language,True
27,1,The royal decree follows a rigid Legal English formula.,The royal decree follows a rigid Legal English formula,The royal decree abandons the rigid Legal English formula,True
27,2,"The final token ""Authority"" is a mid-sentence continuation of the legal grant formula.","Final token ""Authority"" is mid-sentence continuation of the formal 17th-century legal grant formula","Final token ""recipe"" is sentence-final conclusion of the informal 21st-century cooking blog entry",True
27,3,The next clause is expected to specify the purpose/outcome of the grant.,strongly implies the next clause specifying the purpose/outcome,strongly implies the next clause listing the witnesses/signatures,True
28,0,The text is a journalistic historical excerpt about Einstein and the Einstein Tower.,Journalistic historical excerpt establishing context about Einstein and Einstein Tower,Fictional fantasy excerpt establishing context about dragons and Dragon Tower,True
28,1,The text transitions from historical narrative to an advocacy point.,The text transitions from historical narrative about Einstein to an advocacy point,The text remains within historical narrative about Einstein without any advocacy point,True
28,2,"""Read More"" signals a headline/article-continuation format.","with ""Read More"" signaling a headline/article-continuation format","with ""The End"" signaling a closing/story-completion format",True
28,3,"The final token ""Jewish World"" is an incomplete source publication credit line.","Final token ""Jewish World"" is the source publication credit line","Final token ""Jewish Recipes"" is the article headline",True
29,0,The text is a historical ship photo caption about a WWII vessel.,"Historical ship photo caption format, expecting factual details about WWII vessel USS Alligator","Romantic poem stanza format, expecting lyrical details about a summer garden",True
29,1,The sentence is building toward the citation of a specific event.,The sentence structure is building toward a completion of a specific event citation,The sentence structure is drifting away from any completion of a specific event citation,True
29,2,"The final token ""on"" is a preposition beginning a temporal or locative phrase.","Final token ""on"" is a preposition beginning a temporal or locative phrase","Final token ""sank"" is a verb ending a main clause",True
29,3,The date of the engagement is likely May 1942.,likely May 1942 given USS Alligator history,likely June 1944 given USS Alligator history,True
30,0,The text is an encyclopedia entry in a scholarly reference tone.,Encyclopedia/dictionary entry format (Britannica-style) with defined subject headings and cross-references,Tabloid/gossip column format (Daily-Mail-style) with sensational headlines and celebrity photos,True
30,1,The text now transitions to archaeological/ethnographic evidence about settlement patterns.,text now transitions to archaeological/ethnographic evidence about settlement patterns,text now returns to culinary/botanical evidence about maize recipes,True
30,2,"The final fragment ends with ""New York"" and requires geographic regional completion.","""Archaeological sites in New York"" is a mid-sentence fragment requiring geographic regional completion","""Archaeological sites in Peru"" is a sentence-final phrase requiring no regional completion",True
30,3,The description of two Late Woodland dressing types is complete.,Sequential bipolar description of two Late Woodland dressing types is complete,Sequential bipolar description of two Late Woodland dressing types is only beginning,True
31,0,"The text is a student essay with simple, repetitive sentence structure.","Student essay/explanatory style with simple, repetitive sentence structure","Legal contract/statutory style with elaborate, varied sentence structure",True
31,1,The text introduces media reactions and interruptions of daily life during the assassination.,introducing media reactions and interruptions of daily life during the assassination,introducing weather reports and holiday menus during the coronation,True
31,2,"The final fragment ends with ""was"" and requires a past-tense predicate continuation.","""was on the Vようで TV showing a regular western show and then it was"" is mid-construction requiring a past-tense predicate continuation","""was on the Vようで TV showing a regular western show and then it ended"" is a complete sentence requiring no predicate continuation",True
31,3,The fragment grammatically demands a passive verb phrase.,grammatically demands a passive verb phrase to complete the broken narrative,grammatically demands an active noun phrase to begin the next narrative,True
32,0,The text is a blog post reviewing visually driven cinema with a rhetorical Q&A structure.,The blog post reviews visually driven cinema types with rhetorical Q&A structure,The blog post reviews budget kitchen appliances with a numbered ranking structure,True
32,1,The historical narrative of the Triangle Shirtwaist Fire is being recounted.,The historical narrative of the Triangle Shirtwaist Fire is being recounted,The fictional plot of the Titanic romance film is being summarized,True
32,2,"The final token ""doors"" ends a subordinate clause.","Final token ""doors"" ends a subordinate clause","Final token ""escaped"" opens a main clause",True
32,3,"The clause immediately expects a continuation that the doors were locked, sealed or barred.",immediately expects were locked/sealed or barred,immediately expects were opened/unlocked or removed,True
33,0,The text is a personal memoir about routines during Florida winter visits.,"Personal anecdote/memoir tone established, signaling autobiographical narrative about tradeoffs and routines during Florida winter visits","Corporate press-release tone established, signaling promotional copy about quarterly earnings and product launches",True
33,1,The author contrasts their usual active outings with specific Florida experiences.,The author is contrasting their usual active outings with specific Florida experiences,The author is comparing their usual sedentary evenings with typical Alaska experiences,True
33,2,"The final fragment ends with ""of"" and requires a noun phrase completing a partitive expression.","Final fragment ""especially in recent years, I have spent many of"" requires a noun phrase","Final fragment ""especially in recent years, I have spent many hours"" requires a verb phrase",True
33,3,The text is building toward a new detail about books/readings in 2015-2016.,building toward a new detail about books/readings in 2015-2016,building toward a new detail about fishing/boating in 1998-1999,True
34,0,The text is an archival/curatorial description in a formal institutional voice.,Archival/curatorial description pattern: formal institutional voice describing a video collection organization's holdings and scope,Fan-forum/comment-thread pattern: casual personal voice complaining about a video game's bugs and glitches,True
34,1,The sentence establishes a list of source types from Detroit-area institutions.,The sentence structure establishes a list of source types,The sentence structure abandons any list of source types,True
34,2,"The final phrase ends with ""to"", an incomplete prepositional phrase requiring a topic.","Final phrase ""material documenting related to"" is an incomplete prepositional phrase requiring a specific geographic, historical, or cultural topic","Final phrase ""material documenting related events"" is a complete noun phrase requiring no further topic",True
34,3,The title suggests the collection documents Detroit neighborhoods or media history.,strongly suggest the collection documents Detroit neighborhoods or the act of video-making/media history itself,strongly suggest the collection documents Parisian cuisine or the act of wine-tasting/gastronomy itself,True
35,0,The text is a formal academic event listing with a structured biography.,Biographical/CV coordination pattern: formal academic event listing with structured biography,Recipe/menu coordination pattern: casual dinner-party invitation with a rambling shopping list,True
35,1,The biography has listed Alan Taylor's positions and published books.,"the biography has listed positions (UNSW, UVA, Tulane), published books","the biography has omitted positions (UNSW, UVA, Tulane), published books",True
35,2,The final clause expects named publications or outlets.,expects named publications/outlets like journals or major magazines,expects named cities/countries like capitals or major ports,True
35,3,"The final token ""to"" is a preposition opening a prepositional phrase.","Final token ""to"" is a preposition opening a prepositional phrase","Final token ""wrote"" is a verb closing a main clause",True
36,0,The text has an institutional mission-statement tone for a cultural/archival radio series.,Institutional mission statement tone for a cultural/archival radio program series,Sarcastic stand-up comedy tone for a late-night sports podcast series,True
36,1,The description of episode 1 sets up a pattern of introducing archived content.,sets up a pattern of introducing archived content from the Urban Indian History Collection,sets up a pattern of advertising new merchandise from the museum gift shop,True
36,2,"The final phrase ends with ""with"", mid-sentence, requiring a noun phrase or prepositional complement.","Final phrase ""first step to making these rich stories accessible to the public with"" is mid-sentence, requiring a noun phrase or prepositional complement","Final phrase ""first step to making these rich stories accessible to the public online"" is sentence-final, requiring no complement",True
36,3,"The continuation likely mentions subtitles, translations, online platforms, or multimedia formats.","likely mentioning subtitles, translations, online platforms, or multimedia formats","likely mentioning budgets, deadlines, staff cuts, or funding shortfalls",True
37,0,The text is an automotive history establishing Jaguar performance claims.,Automotive history/factual tone establishing bold Jaguar performance claims,Gardening advice/how-to tone establishing modest tomato yield claims,True
37,1,The narrative moves toward citing a historic racing achievement or landmark location.,Narrative momentum toward citing a historic racing achievement or landmark location,Narrative momentum toward listing a routine maintenance schedule or insurance cost,True
37,2,"The final token ""legendary"" is an adjective requiring a specific proper noun next.","""legendary"" is an adjective requiring a specific proper noun immediately after","""lap"" is a noun requiring a finite verb immediately after",True
37,3,"The likely circuit is Le Mans, Nürburgring, Sebring, or Daytona.","likely Le Mans, Nürburgring, Sebring, or Daytona","likely Paris, Berlin, Rome, or Madrid",True
38,0,The text is an event programming notice for a historical commemorative gathering.,Event programming notice establishing a historical commemorative gathering,Weather forecast bulletin establishing a week of heavy rainfall,True
38,1,The parallel list sets up a third presentation topic.,sets up a third parallel presentation topic,closes the list after a second presentation topic,True
38,2,"The final token ""and"" continues the enumerated list.","Final token ""and"" continues the enumerated list","Final token ""river"" terminates the enumerated list",True
38,3,Multiple groups and themes are named.,"Multiple groups and themes named (Seneca Legion, Civil War, San Antonio立交桥 Regatta).",A single group and theme named (Seneca Legion).,True
39,0,The text is a historical biographical entry in an encyclopedic style.,Historical biographical entry style (encyclopedic British Museum format),Casual cooking blog style (chatty Instagram-caption format),True
39,1,The entry notes her holiness and final retirement.,the entry notes her holiness and final retirement,the entry notes her cruelty and continued rule,True
39,2,"The final fragment ends with ""a"" and requires a religious/monastic institution name.","""In her old age she retired to a"" is an incomplete noun phrase requiring a specific religious/monastic institution name","""In her old age she retired to Rome"" is a complete clause requiring no institution name",True
39,3,"The ""religious life"" phrasing signals her entering a monastery or convent.",signals her entering a monastery or convent,signals her leading an army or fleet,True
